question,llmScore
"How does Sharon use UML diagrams in the database design process?
",3
"What are the main events in the development of SQL?
",3
"What are the responsibilities of someone analyzing security needs for a database?
",3
"What database-related topics can Sharon tutor in according to the passage?
",3
"What is a simple form of an electronic database?
",3
"What was the most common database model before the relational model?
",4
"How are hierarchical databases visually represented?
",4
"What is the reason large institutions are reluctant to switch to newer database products?
",5
"What significant problem does a relational database minimize?
",5
"What is the role of a primary key in a relational database?
",4
"What is one of the main advantages of a well-designed relational database?
",3
"What is a statement of scope in the context of a database project?
",5
"What is Microsoft's desktop database?
",3
"What is one reason why a database is needed for the tutoring program mentioned in the context?
",4
"What is the purpose of the scope in a project?
",4
"What is the purpose of the initial interview between a database developer and a client?
",4
"How can questions help clarify the needs of a client for a database related to tutoring services?
",3
"What information does the tutoring center need to track for scheduling tutors and students?
",3
"What is an entity in the context of a database?
",5
"How many major topics should a database ideally focus on?
",3
"What will the tutoring database at the college track for the tutoring program?
",4
"What is one of the purposes of the database in the context?
",3
"How can a weighted average be used to estimate time for database development tasks?
",3
"What is one feature that Sharon plans to add to the database to help identify where new tutors are needed?
",3
"What is the next step in the tutoring database project after creating the database?
",3
"What information will the tutoring database at the college store about students?
",3
"Why is documentation important in a database enterprise?
",4
"What are the two main aspects that need to be documented when documenting a database?
",4
"What is the purpose of documenting the original intent and business rules when creating a database?
",5
"What is a relational database?
",4
"What is an alternative data model to relational databases that is based on XML?
",4
"What are the major themes for the dentist office database mentioned in Practice 6?
",3
"What is one requirement for Vince's database related to tracking his business expenses?
",3
"What is a ""site"" license in the context of software tracking?
",5
"What are the main pieces of information that the hospital's database needs to track for the double blind depression drug test?

",3
"What is the purpose of identifying important nouns in the scenario descriptions when developing a potential database?
",4
"Who are the primary people to interview when gathering information for a database project?
",3
"Who are the potential stakeholders that should be considered when creating a new database?
",3
"What is the purpose of forms and reports in a business setting?
",5
"What is the purpose of a Tutor Session Report Form?
",4
"What is the purpose of a Management Information System (MIS) database?
",4
"What is the purpose of a data warehouse in an organization?
",4
"What is XML and how is it used in data warehousing?
",5
"What is an example of an open-ended question that can be used when conducting interviews to gather opinions and needs of stakeholders for a new system?
",3
"How can a company ensure client data confidentiality?
",5
"What is an advantage of using questionnaires over interviews?
",4
"What is an advantage of using questionnaires over interviews?
",4
"What is an advantage of work shadowing in business processes?
",3
"What is the definition of a ""transaction database"" in the context of database management?
",5
"What is the importance of documenting the information-gathering process in database development?
",4
"Who worked for the company from June 1, 2009 to December 1, 2009 and had a salary of 1,450.00?
",4
"How does Vince, a record store owner, determine the price of used vinyl records?
",3
"What is the pricing unit for the ""MS Site"" license type?
",1
"What is one task that a software management team member at Grandfield College does when processing software installation requests?
",5
"What is an important step Bill takes when developing a database?
",3
"What is a database requirement related to legal and privacy reasons in the Tutoring database?
",5
"What is an essential requirement for most databases to protect confidential data?
",5
"What is a requirement in the context of a database?
",3
"What are some database requirements for the tutoring administrator in the context?
",3
"Who should have select access to all the data in the database?
",5
"What is a potential issue with adding security considerations to a database as an afterthought?
",4
"What kind of data can a tutor modify in the database?
",4
"What permissions are needed for tutors to enter their monthly schedules in the database?
",4
"What is the purpose of business rules in the context of database design?
",4
"How can business rules related to data acquisition, storage, and usage be enforced in a database?
",3
"What is the difference between an attribute and data in a database?
",4
