context,question,answer,source_doc,groundedness_score,relevance_score
"Many of the designations by manufacturers and seller to distinguish their products are claimed as 
trademarks. Where those designations appear in this book, and the publisher was aware of a trademark claim, the designations have been printed in initial caps or all caps. 
 10 9 8 7 6 5 4 3 2 1     
 ISBN 10: 0-13-610827-X 
 ISBN 13: 978-0-13-610827-6  Library of Congress Cataloging-in-Publication DataConger, Steve.  Hands-on database : an introduction to database design and development / Steve Conger.    p. cm.  Includes index.  ISBN-13: 978-0-13-610827-6 (alk. paper)  ISBN-10: 0-13-610827-X (alk. paper)  1. Database design.  I. Title.   QA76.9.D26C644 2012  005.74'3—dc22
2010032774","What is the ISBN for the alk. paper version of the book 'Hands-on database : an introduction to database design and development'?
",The ISBN for the alk. paper version of the book 'Hands-on database : an introduction to database design and development' is 0-13-610827-X,databases/db2.pdf,5,3
"CONTENTS 
Preface ix 
 Chapter 1 WHO NEEDS A DATABASE 1
Overview of Relational Databases and Their Uses 1
The Situation 1The Opportunity 5Getting the Scope 7The First Interview 8Identifying the Big Topics 10Writing the Statement of Work 11Reviewing the Statement of Work 13The Statement of Work 13Documentation 15
Things We Have Done 16 •  Vocabulary 16
Things to Look Up 16 •  Practices 17 •  Scenarios 17
 Chapter 2 GATHERING INFORMATION 20
Interviews, Observations, and Reviewing Documents 20
Looking at the Documents 20Preparing for the Interview 29The Interview 30The Questionnaire 31
Tutoring Services Questionnaire 32 
Tutors at Work 33Documentation 35
Things We Have Done 35 •  Vocabulary 35
Things to Look Up 35 •  Practices 36
Scenarios 36 •  Suggestions for Scenarios 43
 Chapter 3 REQUIREMENTS AND BUSINESS RULES 44
Getting Started 44
Review of the Issues 45Requirements 47Business Rules 50Review of Requirements and Business Rules with Terry 51
A Little Bit of Grammar 52Entities and Attributes 55Candidate Keys 56Documentation 57
Things We Have Done 57 •  Vocabulary 57
Things to Look Up 58 •  Practices 58
Scenarios 58
vii","What is the main topic discussed in Chapter 3 of the given contents?
","Chapter 3 of the given contents primarily discusses requirements and business rules, including a review of issues, entities and attributes, candidate keys, and documentation. It also covers a review of requirements and business rules with someone named Terry and includes sections on vocabulary, things to look up, and scenarios",databases/db2.pdf,5,4
"PREFACE 
 Many students taking an introductory database course need hands-on experience. 
Typically, they are under pressure to finish quickly with a certificate or degree and get to work. They need to get actual practice in the process of designing and developing databases that they can apply in their future employment. They need to create tables, enter data, and run SQL queries. 
 This book is designed for them. Hands-on Database: An Introduction to Database Design and Development   focuses on 
the process of creating a database. It guides the students through the initial conception of the database. It covers gathering of requirements and business rules, the logical and physical design, and the testing of the database. It does this through a continuous nar-rative that follows a student, Sharon, as she designs and constructs a database to track the tutoring program at her school. It shows some of her missteps as well as her suc-cesses. Students get hands-on experience by doing practices and developing scenarios that parallel the narrative. 
 After completing this book, students will have a good sense of what is involved in 
developing and creating a database. Following is a list of the book outcomes. A student who has completed this book will be able to 
   •   give a general definition of a relational database  
  •   identify a variety of ways to gather database requirements    •   define business rules for a database    •   create an entity design for a database    •   normalize a design up to Third Normal Form    •   develop a database in a given DBMS    •   run SQL queries against sample data to test requirements and business rules    •   define the general security context of a database and its users    •   document the process of database design and development   
THE SCENARIO APPROACH","What is the main focus of the book ""Hands-on Database: An Introduction to Database Design and Development""?
","The main focus of the book ""Hands-on Database: An Introduction to Database Design and Development"" is on the process of creating a database, guiding students through the initial conception of the database, gathering of requirements and business rules, the logical and physical design, and the testing of the database. It provides hands-on experience through a narrative that follows a student, Sharon, as she designs and constructs a database to track the tutoring program at her school",databases/db2.pdf,5,4
"THE SCENARIO APPROACH 
 The scenario approach is at the heart of the book. It informs both the narrative and the exercises. A scenario in its essence is a story problem. It provides a context from which to work. It is much easier for a student to understand database design if he or she sees it as a solution to a particular set of problems. There is an emphasis on defining busi-ness rules and then testing the database design against those rules. The scenarios also provide a sense of process. They give the student some guidance in how to go about defining and developing a database. I would argue that even computer science stu-dents could benefit from this approach. It would allow them to experience how the concepts they have learned can be applied to the actual development process. 
 The scenario that makes up the body of the book describes Sharon, a database 
student, in the process of creating a database to manage the school’s tutoring program. She encounters several problems. The way the tutoring sessions are scheduled is awk-ward and inefficient. The reports that the manager of the program needs to make are difficult and time consuming to put together. It is also difficult, at times, to track the  tutors’ hours. Sharon sees a database as a solution to these problems and sets about defining its requirements, designing it, and building a prototype. She enters some sam-ple data and then tests the database using SQL to enter and retrieve the information required. Finally, she looks carefully at the security issues inherent in the database. 
 At the end of each chapter, after the practices, there are four additional scenarios 
for the student to develop. The Wild Wood Apartments   scenario involves creating a 
database to manage a chain of apartment buildings. Vince’s Vintage Vinyl Record 
Shop   offers a scenario of a small shop owner who needs a database to handle his inven-
tory, sales, and purchases. Grandfield College   leads students through the process of 
ix","What is the scenario approach and how is it used in the context of teaching database design?
","The scenario approach is a teaching method that uses story problems, or scenarios, to provide a context for learning. In the context of database design, this approach involves presenting a student with a scenario, such as managing a tutoring program or a chain of apartment buildings, and having the student define the requirements, design, and build a prototype of a database to solve the problems presented in the scenario. This approach emphasizes defining business rules and testing the database design against those rules, and it also provides a sense of process and guidance for the student. The scenario approach can be beneficial for both database and computer science students, as it allows them to apply the concepts they have learned to the actual development process",databases/db2.pdf,5,5
"Normalization
 Normalization is an important but complex issue in database development. Anyone who works with databases is expected to have some knowledge of normalization. For this reason, I believed it important to introduce the students to the concepts and vocabu-lary of normalization. But, because this is an introductory book focused on the process of development and design, I discussed only the first three normal forms. I have found that most databases that achieve at least the Third Normal Form are functional, if not opti-mal, in design. That being said, I do believe anyone working in databases should become familiar with all the normal forms and principles of normalizations. In the “Things to Look Up” segment of  Chapter   4   , I direct students to look up the other normal forms and pick one of them to explain to other students. Also, in  Appendix   D   , “Common Relational Patterns,” the last example shows an ERD of a database that has been normalized  beyond Third Normal Form. 
SQL
  Chapter   7    in  Hands-on Database   contains an extensive introduction to SQL. It covers 
SELECT statements, of course, using a variety of criteria, as well as using scalar func-tions, especially date and time functions, and various aggregate functions. Inner and outer joins are discussed. INSERT, UPDATE, and DELETE statements are introduced. The chapter also illustrates the use of Views and provides an example of a stored proce-dure and a trigger.  Chapter   8    looks at stored procedures in terms of how they can be used to protect data integrity and security. SQL commands related to Logins and per-missions are also introduced. 
 Perhaps more important than the specific SQL commands presented is the con-","What is the focus of Chapter 7 in the book ""Hands-on Database""?
","Chapter 7 in the book ""Hands-on Database"" provides an extensive introduction to SQL, covering topics such as SELECT statements, scalar functions, joins, INSERT, UPDATE, and DELETE statements, Views, stored procedures, and triggers",databases/db2.pdf,5,3
"Perhaps more important than the specific SQL commands presented is the con-
text in which they are introduced. In the text, Sharon uses SQL to test the requirements and business rules of the Tutor Management database. In the scenarios, students use SQL to test the requirements and business rules of the databases they have created. In  Chapter   8   , they see SQL as a tool for securing a database. By presenting it in this way, students see SQL as a vital part of database development and not just an academic exercise.","How is SQL presented in the text to make it relevant to students?
","In the text, SQL is introduced as a tool for testing requirements and business rules of databases, and as a crucial component of database development, rather than just an academic exercise. This approach highlights its significance and practical applications for students",databases/db2.pdf,5,5
"CHAPTER CONVENTIONS 
 Each chapter contains several elements other than the narrative about Sharon. These elements are meant to provide greater depth and to provoke the student to think about some of the broader implications of the material. 
Things You Should Know 
 These extended sections provide background and descriptions of various aspects of data-base development and design. In many ways, they function like the more traditional text-book. They provide definitions, explanations, and examples that provide a deeper, more comprehensive context to the things that Sharon is doing in the narrative.","What is the purpose of the ""Things You Should Know"" sections in the chapters?
","The ""Things You Should Know"" sections in the chapters offer background information, descriptions, definitions, explanations, and examples on various aspects of database development and design. They serve to provide a deeper and more comprehensive understanding of the concepts that the character Sharon is applying in the narrative",databases/db2.pdf,5,4
"xii Preface
Things to Think About 
 These are sidebars that invite the student to consider questions about the processes or 
topics under discussion. The questions in these sections do not have definite answers. They are meant to encourage thought and discussion.  
Cautions
 Cautions are found in the margins of the text. Their purpose is to warn the students about potential mistakes or common errors.  
Documentation
 This section is found at the end of each chapter. It provides a summary of how a student would go about documenting the activities conducted during the chapter. 
Things to Look up 
 This section is also found at the end of each chapter. It guides students to other  resources and topics not fully covered in the book.  
Vocabulary
 Vocabulary is an important part of any discipline. Anyone who wants to work in the database field will be expected to know and understand certain terms. 
 Vocabulary words are highlighted in margins and are repeated in an exercise at 
the end of each chapter where the student is asked to match the word with the defini-tion. SQL terms are listed in tables at the ends of  Chapters   6    and    8   . The terms are also defined in the Glossary at the end of the book. 
Practices
 Practices are found at the end of each chapter. They are designed to give each student hands-on experience with the materials of the chapter. Most practices are self-contained, but some do build on each other. In particular, the practices for  Chapter   5    and    6    are  related. In  Chapter   5   , the students build a Pizza database, and in  Chapter   6   , they query that database with SQL.  
Scenarios","What is the purpose of the ""Practices"" section found at the end of each chapter in the database field book?
","The ""Practices"" section, found at the end of each chapter in the database field book, is designed to provide hands-on experience with the materials covered in the chapter. These exercises are self-contained, but some may build upon each other, particularly those between Chapters 5 and 6 where students create a Pizza database and then query it using SQL",databases/db2.pdf,5,5
"Scenarios
 As mentioned earlier, Scenarios are the life of the book. There are four scenarios which students build on throughout the book. Their purpose is to provide students with the full experience of developing a database, from identifying the initial concept to testing the fully built database. For students, the most effective use of these scenarios would be to follow one or more of the scenarios throughout the entire term. 
Outline
 The book contains eight chapters, four appendixes, and a glossary. It is meant to be just long enough to be covered fully in a single term. Following is an outline of the book with a summary of each chapter’s narrative and a list of the outcomes for that chapter.  
Chapter 1: Who Needs a Database 
NARRATIVE  Sharon, a student at a community college, applies to become a tutor for 
 database-related subjects at the school. She discovers they use spiral notebooks and spreadsheets to manage the tutoring information. She suggests to the supervisor that they could benefit from a database and offers to build it. The supervisor agrees to the project. Sharon interviews her and gets a sense of what the overall database will entail and drafts a statement of scope. She and the supervisor discuss the statement and make some modifications.","What is the purpose of scenarios in a database development book?
","The purpose of scenarios in a database development book is to provide students with a comprehensive experience of developing a database, from identifying the initial concept to testing the fully built database. The book contains four scenarios that students can follow throughout the entire term to understand the process better",databases/db2.pdf,5,5
"Chapter 3: Requirements and Business Rules 
NARRATIVE  Having gathered all this information, Sharon must figure out what to do 
with it. She searches through her notes for nouns and lists them. Then she looks at the lists to see if there are additional topics, or subjects. Then she groups which nouns go with which topics. For each topic area, Sharon identifies some candidate keys. Next, she looks through her notes to determine what the business rules of the tutoring program are. She lists the rules and makes notes for further questions. The rules seem complex, and Sharon remembers something from a systems analysis class about UML diagrams called Use Case diagrams. She uses these diagrams to graphically show how each actor—tutor, student, and supervisor—interacts with the database.  
OUTCOMES
   •   Use nouns from notes and observations to discover database elements    •   Group elements into entities and attributes    •   Define business rules    •   Develop Use Case diagrams to model requirements     
Chapter 4: Database Design 
NARRATIVE  Sharon is ready to design the database. She looks at her topics lists and dia-
grams an initial set of entities, using Visio. She analyses the relationships among the entities, adding linking tables wherever she finds a many-to-many relation. Then she adds the other items from her list to the appropriate entities as attributes. For each  attribute, she assigns a data type. She reviews the design to ensure that she has  captured all the data and the business rules.","How does Sharon use UML diagrams in the database design process?
","In the database design process, Sharon uses UML (Unified Modeling Language) diagrams called Use Case diagrams to model the requirements of the tutoring program. She uses these diagrams to graphically show how each actor - tutor, student, and supervisor - interacts with the database, helping her to visualize and understand the relationships and requirements more clearly",databases/db2.pdf,3,4
